"old_file","old_fqcn","new_file","new_fqcn","symbol_type","business_domain","registration_type","external_reference_count"
"vendor/dtyq/super-magic-module/src/Application/Agent/Assembler/AdminSuperMagicAgentAssembler.php","Dtyq\SuperMagic\Application\Agent\Assembler\AdminSuperMagicAgentAssembler","app/Application/SuperMagic/Agent/Assembler/AdminSuperMagicAgentAssembler.php","App\Application\SuperMagic\Agent\Assembler\AdminSuperMagicAgentAssembler","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Collaboration/AgentResourceAdapter.php","Dtyq\SuperMagic\Application\Agent\Collaboration\AgentResourceAdapter","app/Application/SuperMagic/Agent/Collaboration/AgentResourceAdapter.php","App\Application\SuperMagic\Agent\Collaboration\AgentResourceAdapter","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Command/RestartAllMagicClawSandboxCommand.php","Dtyq\SuperMagic\Application\Agent\Command\RestartAllMagicClawSandboxCommand","app/Application/SuperMagic/Agent/Command/RestartAllMagicClawSandboxCommand.php","App\Application\SuperMagic\Agent\Command\RestartAllMagicClawSandboxCommand","class","Agent","Command","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/DTO/ParsedAgentData.php","Dtyq\SuperMagic\Application\Agent\DTO\ParsedAgentData","app/Application/SuperMagic/Agent/DTO/ParsedAgentData.php","App\Application\SuperMagic\Agent\DTO\ParsedAgentData","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/DTO/PublishAgentResultDTO.php","Dtyq\SuperMagic\Application\Agent\DTO\PublishAgentResultDTO","app/Application/SuperMagic/Agent/DTO/PublishAgentResultDTO.php","App\Application\SuperMagic\Agent\DTO\PublishAgentResultDTO","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Event/Subscribe/AgentSkillsAddedEventSubscriber.php","Dtyq\SuperMagic\Application\Agent\Event\Subscribe\AgentSkillsAddedEventSubscriber","app/Application/SuperMagic/Agent/Event/Subscribe/AgentSkillsAddedEventSubscriber.php","App\Application\SuperMagic\Agent\Event\Subscribe\AgentSkillsAddedEventSubscriber","class","Agent","Listener","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Event/Subscribe/AgentSkillsRemovedEventSubscriber.php","Dtyq\SuperMagic\Application\Agent\Event\Subscribe\AgentSkillsRemovedEventSubscriber","app/Application/SuperMagic/Agent/Event/Subscribe/AgentSkillsRemovedEventSubscriber.php","App\Application\SuperMagic\Agent\Event\Subscribe\AgentSkillsRemovedEventSubscriber","class","Agent","Listener","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Parser/AgentZipParser.php","Dtyq\SuperMagic\Application\Agent\Parser\AgentZipParser","app/Application/SuperMagic/Agent/Parser/AgentZipParser.php","App\Application\SuperMagic\Agent\Parser\AgentZipParser","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Service/AbstractSuperMagicAppService.php","Dtyq\SuperMagic\Application\Agent\Service\AbstractSuperMagicAppService","app/Application/SuperMagic/Agent/Service/AbstractSuperMagicAppService.php","App\Application\SuperMagic\Agent\Service\AbstractSuperMagicAppService","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Service/AdminSuperMagicAgentAppService.php","Dtyq\SuperMagic\Application\Agent\Service\AdminSuperMagicAgentAppService","app/Application/SuperMagic/Agent/Service/AdminSuperMagicAgentAppService.php","App\Application\SuperMagic\Agent\Service\AdminSuperMagicAgentAppService","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Service/AdminSuperMagicCategoryAppService.php","Dtyq\SuperMagic\Application\Agent\Service\AdminSuperMagicCategoryAppService","app/Application/SuperMagic/Agent/Service/AdminSuperMagicCategoryAppService.php","App\Application\SuperMagic\Agent\Service\AdminSuperMagicCategoryAppService","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Service/AgentZipGeneratorService.php","Dtyq\SuperMagic\Application\Agent\Service\AgentZipGeneratorService","app/Application/SuperMagic/Agent/Service/AgentZipGeneratorService.php","App\Application\SuperMagic\Agent\Service\AgentZipGeneratorService","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Service/ImportAgentAppService.php","Dtyq\SuperMagic\Application\Agent\Service\ImportAgentAppService","app/Application/SuperMagic/Agent/Service/ImportAgentAppService.php","App\Application\SuperMagic\Agent\Service\ImportAgentAppService","class","Agent","ordinary","0"
"vendor/dtyq/super-magic-module/src/Application/Agent/Service/MagicClawAppService.php","Dtyq\SuperMagic\Application\Agent\Service\MagicClawAppService","app/Application/SuperMagic/Agent/Service/MagicClawAppService.php","App\Application\SuperMagic\Agent\Service\MagicClawAppService","class","Agent","ordinary","0"
