vendor_file,old_fqcn,new_fqcn
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\Agent\Entity\ValueObject\SuperMagicAgentDataIsolation","App\Domain\SuperMagic\Agent\Entity\ValueObject\SuperMagicAgentDataIsolation"
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\Agent\Service\MagicClawDomainService","App\Domain\SuperMagic\Agent\Service\MagicClawDomainService"
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\Agent\Service\SuperMagicAgentDomainService","App\Domain\SuperMagic\Agent\Service\SuperMagicAgentDomainService"
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\TopicEntity","App\Domain\SuperMagic\Topic\Entity\TopicEntity"
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TopicDomainService","App\Domain\SuperMagic\Topic\Service\TopicDomainService"
"vendor/dtyq/billing-manager/src/Application/Quota/Service/QuotaAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\WorkspaceDomainService","App\Domain\SuperMagic\Workspace\Service\WorkspaceDomainService"
"vendor/dtyq/billing-manager/src/Application/SuperMagic/Listener/Claw/BeforeCreateClawListener.php","Dtyq\SuperMagic\Domain\Agent\Event\BeforeCreateClawEvent","App\Domain\SuperMagic\Agent\Event\BeforeCreateClawEvent"
"vendor/dtyq/billing-manager/src/Application/SuperMagic/Listener/Claw/BeforeCreateClawListener.php","Dtyq\SuperMagic\Domain\Agent\Service\MagicClawDomainService","App\Domain\SuperMagic\Agent\Service\MagicClawDomainService"
"vendor/dtyq/billing-manager/src/Application/SuperMagic/Listener/ProjectDuplicate/ProjectDuplicationListener.php","Dtyq\SuperMagic\Domain\SuperAgent\Event\ForkProjectStartEvent","App\Domain\SuperMagic\Project\Event\ForkProjectStartEvent"
"vendor/dtyq/billing-manager/src/Application/SuperMagic/Listener/RunningSuperMagicTask/BeforeRunningSuperMagicTaskListener.php","Dtyq\SuperMagic\Domain\SuperAgent\Event\RunTaskBeforeEvent","App\Domain\SuperMagic\Task\Event\RunTaskBeforeEvent"
"vendor/dtyq/billing-manager/src/Application/SuperMagic/Listener/RunningSuperMagicTask/RunningTaskCallbackListener.php","Dtyq\SuperMagic\Domain\SuperAgent\Event\RunTaskCallbackEvent","App\Domain\SuperMagic\Task\Event\RunTaskCallbackEvent"
"vendor/dtyq/billing-manager/src/Domain/PointConsumption/Service/SuperMagicBusinessResolver.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\ProjectMode","App\Domain\SuperMagic\Project\Entity\ValueObject\ProjectMode"
"vendor/dtyq/billing-manager/src/Domain/PointConsumption/Service/SuperMagicBusinessResolver.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
"vendor/dtyq/billing-manager/src/Domain/PointConsumption/Service/SuperMagicBusinessResolver.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TopicDomainService","App\Domain\SuperMagic\Topic\Service\TopicDomainService"
"vendor/dtyq/billing-manager/src/Domain/PointConsumption/Strategy/LLMConsumptionStrategy.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TopicDomainService","App\Domain\SuperMagic\Topic\Service\TopicDomainService"
"vendor/dtyq/billing-manager/src/Domain/PointConsumption/Strategy/VideoGenerationConsumptionStrategy.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TopicDomainService","App\Domain\SuperMagic\Topic\Service\TopicDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Contract/EnterpriseDeploymentId.php","Dtyq\SuperMagic\Application\Contract\DeploymentIdInterface","App\Application\SuperMagic\Common\Contract\DeploymentIdInterface"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Event/Subscribe/DesignImageGenerationSubscriber.php","Dtyq\SuperMagic\Domain\MagicFS\Service\UpsertProjectFileNodeDTO","App\Domain\SuperMagic\File\Service\UpsertProjectFileNodeDTO"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Event/Subscribe/DesignImageGenerationSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\TaskFileEntity","App\Domain\SuperMagic\File\Entity\TaskFileEntity"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Event/Subscribe/DesignImageGenerationSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\FileType","App\Domain\SuperMagic\File\Entity\ValueObject\FileType"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Event/Subscribe/DesignImageGenerationSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\TaskFileSource","App\Domain\SuperMagic\File\Entity\ValueObject\TaskFileSource"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Event/Subscribe/DesignImageGenerationSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
